Chemin_Fichier,Date_Heure_Prise,Classe_Predite,Score_Confiance,Statut
../data/raw/p01/food-images/IMG_9111.png,2025-12-14 09:23:10.571592808,caesar salad,12.91%,OK
../data/raw/p01/food-images/IMG_9112.jpeg,2025-12-14 09:23:13.071757317,donuts,17.18%,OK
../data/raw/p01/food-images/IMG_9116.jpeg,2025-12-14 09:23:09.456017017,ice cream,14.08%,OK
../data/raw/p01/food-images/IMG_9117.jpeg,2025-12-14 09:23:09.255285025,french fries,33.15%,OK
../data/raw/p01/food-images/IMG_9118.jpeg,2025-12-14 09:23:11.620815277,french fries,92.74%,OK
../data/raw/p01/food-images/IMG_9119.jpeg,2025-12-14 09:23:10.184582233,creme brulee,20.44%,OK
../data/raw/p01/food-images/IMG_9120.jpeg,2025-12-14 09:23:10.004149914,apple pie,14.88%,OK
../data/raw/p01/food-images/IMG_9121.jpeg,2025-12-14 09:23:08.599195719,ice cream,22.27%,OK
../data/raw/p01/food-images/IMG_9122.jpeg,2025-12-14 09:23:11.461300611,cheese plate,13.13%,OK
../data/raw/p01/food-images/IMG_9154.jpeg,2025-12-14 09:23:10.666023254,tiramisu,31.73%,OK
../data/raw/p01/food-images/IMG_9155.jpeg,2025-12-14 09:23:11.074955463,pizza,34.18%,OK
../data/raw/p01/food-images/IMG_9156.jpeg,2025-12-14 09:23:09.080287218,macarons,15.09%,OK
../data/raw/p01/food-images/IMG_9157.jpeg,2025-12-14 09:23:09.590362787,macarons,8.70%,OK
../data/raw/p01/food-images/IMG_9158.jpeg,2025-12-14 09:23:10.326602221,panna cotta,15.81%,OK
../data/raw/p01/food-images/IMG_9159.jpeg,2025-12-14 09:23:11.521453857,falafel,23.17%,OK
../data/raw/p01/food-images/IMG_9160.jpeg,2025-12-14 09:23:08.503237009,macarons,35.04%,OK
../data/raw/p01/food-images/IMG_9161.jpeg,2025-12-14 09:23:10.102752686,lobster bisque,90.45%,OK
../data/raw/p01/food-images/IMG_9163.jpeg,2025-12-14 09:23:11.397348404,prime rib,10.94%,OK
../data/raw/p01/food-images/IMG_9164.jpeg,2025-12-14 09:23:12.309985399,chocolate mousse,14.69%,OK
../data/raw/p01/food-images/IMG_9165.jpeg,2025-12-14 09:23:12.462528944,tuna tartare,7.35%,OK
../data/raw/p01/food-images/IMG_9168.jpeg,2025-12-14 09:23:11.994670868,ice cream,18.62%,OK
../data/raw/p01/food-images/IMG_9171.jpeg,2025-12-14 09:23:07.887330294,macarons,9.94%,OK
../data/raw/p01/food-images/IMG_9178.jpeg,2025-12-14 09:23:10.795568228,ice cream,11.47%,OK
../data/raw/p01/food-images/IMG_9180.jpeg,2025-12-14 09:23:10.956737995,spring rolls,8.02%,OK
