participant_id,image_path,detected_foods,estimated_calories
p01,data/raw/p01/food-images/IMG_9120.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9121.jpeg,['chocolate'],500
p01,data/raw/p01/food-images/IMG_9122.jpeg,['fish'],180
p01,data/raw/p01/food-images/IMG_9154.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9155.jpeg,['pizza'],280
p01,data/raw/p01/food-images/IMG_9156.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9157.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9158.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9159.jpeg,['hotdog'],260
p01,data/raw/p01/food-images/IMG_9160.jpeg,['hotdog'],260
p01,data/raw/p01/food-images/IMG_9161.jpeg,"['banana', 'orange']",136
p01,data/raw/p01/food-images/IMG_9163.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9164.jpeg,['chocolate'],500
p01,data/raw/p01/food-images/IMG_9165.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9168.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9171.jpeg,['apple'],52
p01,data/raw/p01/food-images/IMG_9178.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9180.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9186.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9187.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9188.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9199.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9200.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9201.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9202.jpeg,['pizza'],280
p01,data/raw/p01/food-images/IMG_9203.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9204.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9205.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9206.jpeg,['chocolate'],500
p01,data/raw/p01/food-images/IMG_9207.jpeg,['orange'],47
p01,data/raw/p01/food-images/IMG_9208.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9209.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9210.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9211.jpeg,['egg'],155
p01,data/raw/p01/food-images/IMG_9212.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9214.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9215.jpeg,['fish'],180
p01,data/raw/p01/food-images/IMG_9216.jpeg,['banana'],89
p01,data/raw/p01/food-images/IMG_9217.jpeg,"['cheeseburger', 'cheese', 'hotdog']",960
p01,data/raw/p01/food-images/IMG_9220.jpeg,['pizza'],280
p01,data/raw/p01/food-images/IMG_9223.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9224.jpeg,['egg'],155
p01,data/raw/p01/food-images/IMG_9225.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9226.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9228.jpeg,"['spaghetti', 'hotdog']",480
p01,data/raw/p01/food-images/IMG_9229.jpeg,[],0
p01,data/raw/p01/food-images/IMG_9230.jpeg,['pizza'],280
p01,data/raw/p01/food-images/IMG_9231.jpeg,[],0
