Chemin_Fichier,Date_Prise,Classe_Predite,Score_Confiance,Statut
../data/raw/p01/food-images/IMG_9360.jpeg,2020-03-19,miso soup,17.18%,OK
../data/raw/p01/food-images/IMG_9361.jpeg,2020-03-19,macarons,24.54%,OK
../data/raw/p01/food-images/IMG_9362.jpeg,2020-03-19,waffles,8.53%,OK
../data/raw/p01/food-images/IMG_9363.jpeg,2020-03-19,panna cotta,25.64%,OK
../data/raw/p01/food-images/IMG_9364.jpeg,2020-03-20,ice cream,36.05%,OK
../data/raw/p01/food-images/IMG_9366.jpeg,2020-03-20,ice cream,34.68%,OK
../data/raw/p01/food-images/IMG_9367.jpeg,2020-03-20,french fries,43.62%,OK
../data/raw/p01/food-images/IMG_9368.jpeg,2020-03-20,ceviche,8.75%,OK
../data/raw/p01/food-images/IMG_9371.jpeg,2020-03-21,foie gras,10.46%,OK
../data/raw/p01/food-images/IMG_9372.jpeg,2020-03-21,spring rolls,11.33%,OK
../data/raw/p01/food-images/IMG_9373.jpeg,2020-03-21,panna cotta,17.49%,OK
../data/raw/p01/food-images/IMG_9374.jpeg,2020-03-21,cheese plate,6.89%,OK
../data/raw/p01/food-images/IMG_9375.jpeg,2020-03-22,strawberry shortcake,38.30%,OK
../data/raw/p01/food-images/IMG_9376.jpeg,2020-03-22,paella,33.90%,OK
../data/raw/p01/food-images/IMG_9379.jpeg,2020-03-22,spaghetti carbonara,15.20%,OK
../data/raw/p01/food-images/IMG_9380.jpeg,2020-03-22,cheese plate,23.51%,OK
../data/raw/p01/food-images/IMG_9381.jpeg,2020-03-22,lobster bisque,72.17%,OK
../data/raw/p01/food-images/IMG_9382.jpeg,2020-03-23,ice cream,5.88%,OK
../data/raw/p01/food-images/IMG_9383.jpeg,2020-03-23,panna cotta,13.00%,OK
../data/raw/p01/food-images/IMG_9385.jpeg,2020-03-24,escargots,24.59%,OK
../data/raw/p01/food-images/IMG_9386.jpeg,2020-03-25,beef carpaccio,45.10%,OK
../data/raw/p01/food-images/IMG_9387.jpeg,2020-03-25,risotto,14.66%,OK
../data/raw/p01/food-images/IMG_9388.jpeg,2020-03-26,pulled pork sandwich,13.75%,OK
../data/raw/p01/food-images/IMG_9389.jpeg,2020-03-26,dumplings,26.19%,OK
../data/raw/p01/food-images/IMG_9390.jpeg,2020-03-26,red velvet cake,10.58%,OK
../data/raw/p01/food-images/IMG_9394.jpeg,2020-03-26,macarons,15.57%,OK
../data/raw/p01/food-images/IMG_9395.jpeg,2020-03-27,chocolate mousse,14.00%,OK
../data/raw/p01/food-images/IMG_9396.jpeg,2020-03-27,red velvet cake,19.66%,OK
../data/raw/p01/food-images/IMG_9397.jpeg,2020-03-27,risotto,14.71%,OK
../data/raw/p01/food-images/IMG_9398.jpeg,2020-03-27,cheese plate,18.78%,OK
../data/raw/p01/food-images/IMG_9399.jpeg,2020-03-28,falafel,11.48%,OK
../data/raw/p01/food-images/IMG_9400.jpeg,2020-03-28,panna cotta,14.00%,OK
